 192.168.1.3
RSSI: -42 dBm
Waiting for NTP time sync
✅ NTP synchronized: 2025-06-28 07:29:56
Initializing sensors...
Initializing I2C (SDA: 8, SCL: 9)...
✓ I2C initialized successfully
Initializing PMS7003 sensor...
Using PMS pins - RX: 16, TX: 17
✅ PMS7003 initialized!
Scanning I2C bus...
I2C device found at address 0x77
I2C scan complete. Found 1 device(s)
Searching for BME688 sensor...
Testing I2C address 0x77... Chip ID: 0x61 (BME688) ✅
✅ Using BME688 at address 0x77
BSEC initialization attempt 1/3...
❌ Failed to update BSEC subscription!
Retrying BSEC initialization...
BSEC initialization attempt 2/3...
❌ Failed to update BSEC subscription!
Retrying BSEC initialization...
BSEC initialization attempt 3/3...
❌ Failed to update BSEC subscription!
❌ BSEC initialization failed after 3 attempts!
❌ Sensor initialization failed!
timestamp,temp_c,humidity_%,pressure_hpa,iaq,co2_ppm,voc_ppm,pm1_0,pm2_5,pm10_0,baseline_ready,spike_detected,signature,total_spikes
2025-06-28 07:30:06,,,,,,,,,,,NO_SENSORS,NO,,0
🕒 NTP time synchronized!
2025-06-28 07:30:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:30:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:30:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:30:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:31:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:31:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:31:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:31:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:31:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:31:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:32:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:32:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:32:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:32:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:32:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:32:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:33:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:33:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:33:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:33:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:33:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:33:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:34:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:34:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:34:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:34:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:34:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:34:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:35:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:35:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:35:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:35:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:35:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:35:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:36:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:36:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:36:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:36:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:36:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:36:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:37:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:37:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:37:25,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:37:35,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:37:45,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:37:55,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:38:05,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:38:15,,,,,,,,,,,NO_SENSORS,NO,,0
2025-06-28 07:38:25,,,,,,,,,,,NO_SENSORS,NO,,0
